                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.55193,                0.51505,                0.94339,                0.99464,                  0.975,                0.99083,                0.87425,                0.59171,                0.41932,                0.96385,             0.00092435,             0.00092435,             0.00092435
                     48,                0.55121,                0.53198,                0.93695,                0.98985,                0.99719,                  0.995,                0.88612,                0.54276,                0.39559,                0.93224,             0.00090785,             0.00090785,             0.00090785
                     49,                0.56261,                0.51201,                0.95213,                0.99619,                0.98026,                  0.995,                0.86965,                0.58363,                0.40965,                0.94539,             0.00089134,             0.00089134,             0.00089134
                     50,                0.51612,                0.51247,                0.90385,                0.98749,                0.96569,                   0.99,                0.86243,                0.58838,                0.42791,                0.93354,             0.00087484,             0.00087484,             0.00087484
                     51,                  0.531,                0.50845,                0.93886,                0.97535,                0.96201,                0.98548,                0.88223,                0.56274,                0.47324,                0.92433,             0.00085834,             0.00085834,             0.00085834
                     52,                0.54401,                0.48033,                0.93095,                0.98116,                  0.975,                   0.99,                0.86477,                0.54549,                0.40319,                0.94121,             0.00084184,             0.00084184,             0.00084184
                     53,                  0.539,                0.46043,                0.92125,                0.98971,                0.97439,                   0.99,                0.88974,                0.55716,                0.38725,                0.93786,             0.00082533,             0.00082533,             0.00082533
                     54,                0.53966,                0.45836,                0.92735,                 0.9649,                  0.975,                0.98881,                0.87339,                0.63008,                0.41303,                0.96083,             0.00080883,             0.00080883,             0.00080883
                     55,                0.49637,                0.44456,                0.89977,                 0.9667,                  0.975,                0.98936,                0.88238,                0.51791,                0.39614,                0.93074,             0.00079233,             0.00079233,             0.00079233
                     56,                0.51513,                0.45028,                0.93213,                0.97618,                0.98057,                0.98905,                0.86987,                0.55276,                0.41358,                0.94764,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.4828,                0.45302,                0.91284,                0.99704,                0.98569,                  0.995,                0.87521,                0.55739,                0.38673,                0.94174,             0.00075932,             0.00075932,             0.00075932
                     58,                0.50752,                0.44115,                0.92907,                0.99802,                0.98031,                  0.995,                 0.8739,                0.56103,                0.34717,                0.94824,             0.00074282,             0.00074282,             0.00074282
                     59,                0.47503,                0.44572,                0.92831,                0.99493,                0.98124,                  0.995,                0.87727,                0.58509,                0.35284,                0.93048,             0.00072631,             0.00072631,             0.00072631
                     60,                0.48011,                0.44829,                 0.9255,                0.97334,                0.99637,                0.99381,                0.87563,                0.53919,                0.42099,                0.93719,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.4902,                0.42776,                 0.9237,                0.97026,                 0.9981,                0.99381,                0.87488,                0.55582,                0.38031,                0.93117,             0.00069331,             0.00069331,             0.00069331
                     62,                0.49019,                0.40955,                0.91617,                0.97443,                0.99869,                0.99381,                0.89132,                0.50838,                 0.3783,                0.91281,              0.0006768,              0.0006768,              0.0006768
                     63,                0.51472,                0.44535,                0.92849,                0.97397,                0.99151,                0.99381,                0.88461,                0.55284,                0.42645,                0.92365,              0.0006603,              0.0006603,              0.0006603
                     64,                0.50691,                0.43904,                0.91147,                0.96557,                0.99526,                0.99381,                0.88665,                0.54159,                 0.3978,                0.91318,              0.0006438,              0.0006438,              0.0006438
                     65,                0.50014,                0.41969,                0.94637,                0.98761,                0.99804,                  0.995,                0.89634,                0.53498,                0.34664,                0.92554,             0.00062729,             0.00062729,             0.00062729
                     66,                0.50406,                0.43233,                0.91209,                0.98906,                0.99816,                  0.995,                0.87949,                0.61489,                0.34178,                0.94431,             0.00061079,             0.00061079,             0.00061079
                     67,                0.49351,                0.41578,                0.91603,                0.99311,                0.98566,                  0.995,                0.89616,                0.56804,                0.33677,                0.92754,             0.00059429,             0.00059429,             0.00059429
                     68,                0.47151,                0.41531,                 0.9139,                0.98859,                  0.975,                0.99273,                0.87797,                0.62862,                0.36172,                0.95554,             0.00057778,             0.00057778,             0.00057778
                     69,                0.45248,                0.40237,                0.89651,                0.98805,                  0.975,                0.98613,                 0.8778,                0.59341,                0.35908,                0.92586,             0.00056128,             0.00056128,             0.00056128
                     70,                 0.4528,                0.41122,                0.89708,                0.98991,                  0.975,                0.98389,                0.85894,                0.56687,                0.33967,                0.93842,             0.00054478,             0.00054478,             0.00054478
                     71,                0.48482,                0.42623,                0.90936,                0.99278,                  0.975,                0.99174,                0.86932,                0.59569,                 0.3306,                 0.9537,             0.00052827,             0.00052827,             0.00052827
                     72,                0.47043,                0.39921,                0.91841,                0.98208,                0.99596,                  0.995,                  0.897,                 0.5617,                0.32172,                0.91898,             0.00051177,             0.00051177,             0.00051177
                     73,                0.46816,                0.40195,                0.89643,                0.98605,                0.99376,                  0.995,                 0.8952,                0.53928,                0.32234,                0.90197,             0.00049527,             0.00049527,             0.00049527
                     74,                0.43654,                0.36308,                0.87322,                0.99297,                0.99822,                  0.995,                0.88683,                 0.5815,                0.32366,                0.91717,             0.00047876,             0.00047876,             0.00047876
                     75,                0.44987,                0.38805,                0.91396,                0.99712,                      1,                  0.995,                 0.8956,                0.52894,                0.31599,                 0.9051,             0.00046226,             0.00046226,             0.00046226
                     76,                 0.4302,                0.38245,                0.88809,                0.99495,                      1,                  0.995,                0.88791,                0.56583,                0.30822,                0.92035,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.4471,                 0.3881,                 0.8875,                 0.9957,                      1,                  0.995,                0.88333,                0.56762,                0.30942,                0.92762,             0.00042925,             0.00042925,             0.00042925
                     78,                0.44349,                0.37843,                0.89644,                0.99566,                      1,                  0.995,                0.89206,                 0.5409,                0.29516,                0.91961,             0.00041275,             0.00041275,             0.00041275
                     79,                 0.4076,                0.37309,                0.87701,                0.99652,                      1,                  0.995,                0.88531,                0.55004,                0.30683,                  0.922,             0.00039625,             0.00039625,             0.00039625
                     80,                0.43433,                0.35947,                0.90781,                0.99493,                0.99797,                  0.995,                0.87693,                0.53198,                0.31084,                0.91032,             0.00037974,             0.00037974,             0.00037974
